COD_SECC_2011;viv<30m % ;Promedio de Super/habi;Aseo 2011 % ;Anteriores 1951 % ;ALQUIL_CES;SIN_CALEFA
3907503009;0,0000000;0,0209833;8,5115070;34,8567605;9,2582861;11,0907658
3907503010;0,0000000;0,0191993;0,0000000;27,9645295;26,7986420;9,1704915
3907503011;0,0000000;0,0201460;0,0000000;20,6098656;7,4497363;0,0000000
3907503012;0,0000000;0,0229107;0,0000000;45,5174508;27,7383373;4,7260372
3907503013;0,0000000;0,0275586;0,0000000;0,0000000;8,9737036;12,8206464
3907503014;0,0000000;0,0276284;0,0000000;0,0000000;6,7782944;22,7271702
3907503015;0,0000000;0,0229560;0,0000000;8,2312081;17,3314439;14,2155345
3907504001;0,0000000;0,0140163;0,0000000;74,9336061;22,7736499;2,3787028
3907504002;0,0000000;0,0156578;0,0000000;76,8309705;19,8629712;0,0000000
3907504003;0,0000000;0,0180930;0,0000000;57,2329516;51,5161479;9,7376783
3907504004;0,0000000;0,0162334;0,0000000;27,7771652;27,1351337;1,8912026
3907504005;0,0000000;0,0227236;0,0000000;2,0471799;23,5232871;1,7656070
3907504006;0,0000000;0,0212322;0,0000000;38,3940054;29,5423934;16,2289566
3907504007;0,0000000;0,0258641;0,0000000;14,1589033;6,1238692;11,5142641
3907504008;0,0000000;0,0194170;0,0000000;23,3391289;20,3628857;12,1854411
3907504009;0,0000000;0,0175124;0,0000000;18,8624521;15,0113356;0,0000000
3907504010;0,0000000;0,0139024;0,0000000;13,0278046;11,3707796;3,9074573
3907504011;0,0000000;0,0158215;0,0000000;9,7903489;16,4547088;0,0000000
3907504012;0,0000000;0,0163905;0,0000000;3,0764626;24,5238237;5,7748088
3907504013;0,0000000;0,0146121;0,0000000;16,7952641;14,4596168;0,0000000
3907504014;2,7029223;0,0187601;0,0000000;2,1089400;24,2683576;0,0000000
3907505001;0,0000000;0,0132026;0,0000000;6,9527621;64,7623569;7,8466379
3907505002;0,0000000;0,0185419;0,0000000;6,5390052;26,1763271;0,0000000
3907505003;0,0000000;0,0194864;0,0000000;34,5931463;25,3648578;2,9615559
3907505004;0,0000000;0,0217415;0,0000000;3,9155942;9,8589833;7,5346088
3907505005;0,0000000;0,0234783;0,0000000;0,0000000;17,4457989;10,2359371
3907505006;2,5584486;0,0274887;0,0000000;0,0000000;33,0448988;28,0318593
3907505007;0,0000000;0,0238253;0,0000000;0,0000000;10,2930215;17,1079125
3907505008;0,0000000;0,0217433;0,0000000;0,0000000;5,7425887;9,4005958
3907505009;0,0000000;0,0316574;0,0000000;100,0000000;0,0000000;16,7337461
3907505010;0,0000000;0,0216572;0,0000000;0,0000000;16,1223533;7,2799335
3907505011;0,0000000;0,0223564;0,0000000;0,0000000;18,5994152;11,5497893
3907505012;0,0000000;0,0230958;0,0000000;19,0150347;7,7561921;16,4905349
3907505013;0,0000000;0,0190052;0,0000000;0,0000000;13,2682081;4,0548267
3907505014;0,0000000;0,0246096;0,0000000;0,0000000;21,6298416;26,1185043
3907505015;0,0000000;0,0240393;0,0000000;0,0000000;25,1519196;12,6678386
3907506001;0,0000000;0,0206413;2,2436124;32,8881897;31,7363294;15,4400711
3907506002;0,0000000;0,0236582;0,0000000;23,1145506;28,1410971;3,9338792
3907506003;0,0000000;0,0227876;2,5867153;0,0000000;27,7137008;7,1922782
3907506004;0,0000000;0,0208374;0,0000000;38,1972788;24,0668812;3,0474710
3907506005;0,0000000;0,0198084;0,0000000;0,0000000;17,4682705;2,3390364
3907506006;0,0000000;0,0284824;0,0000000;12,1555139;32,4471752;9,2181956
3907506007;0,0000000;0,0298377;0,0000000;7,6616442;0,0000000;10,9886016
3907506008;0,0000000;0,0235679;0,0000000;22,3801123;9,4212769;19,2205483
3907506009;2,5780954;0,0295827;0,0000000;86,7419984;26,3408035;29,8437783
3907506010;0,0000000;0,0177778;0,0000000;0,0000000;0,0000000;0,0000000
3907506011;0,0000000;0,0177170;0,0000000;33,8581664;33,1767609;16,2898204
3907506012;0,0000000;0,0272936;4,5361180;51,2976331;20,3586225;31,2811886
3907506013;0,0000000;0,0189169;0,0000000;2,3337279;10,3668220;2,8411292
3907506014;0,0000000;0,0243837;0,0000000;0,0000000;11,9589058;6,6571065
3907507001;0,0000000;0,0334593;0,0000000;0,0000000;3,0404923;0,0000000
3907507002;0,0000000;0,0232639;0,0000000;0,0000000;10,8351337;7,9405017
3907507003;0,0000000;0,0282080;0,0000000;0,0000000;19,8421706;0,0000000
3907507004;0,0000000;0,0289631;0,0000000;0,0000000;6,3579004;7,6376125
3907507005;0,0000000;0,0232639;0,0000000;0,0000000;14,6987348;5,2616939
3907507006;0,0000000;0,0266794;0,0000000;3,2450277;8,9613526;4,5511775
3907507007;0,0000000;0,0266121;0,0000000;0,0000000;18,2405827;16,6482555
3907507008;0,0000000;0,0295948;0,0000000;6,3358281;9,1199718;8,5009373
3907507009;0,0000000;0,0279085;1,8288387;0,0000000;21,6855564;7,6620458
3907507010;0,0000000;0,0298269;0,0000000;0,0000000;6,1388784;2,8956696
3907507011;0,0000000;0,0210811;0,0000000;2,5841512;22,8823244;14,4712848
3907507012;0,0000000;0,0257700;0,0000000;2,4912275;4,9086592;2,6493500
3907507013;0,0000000;0,0249610;0,0000000;0,0000000;2,0805951;9,5653166
3907507014;0,0000000;0,0337949;3,7668217;0,0000000;19,3215003;4,1088951
